Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.7875627921,2.36780410698;"{""type"": ""Point"", ""coordinates"": [2.367804106975456, 48.78756279205349]}";375;45049;897;Villejuif-Louis Aragon;VILLEJUIF-LOUIS ARAGON;Villejuif-Louis Aragon;2156;Metro;0;0;0;1;0;0;0;0;0;0;M7;0;0;0;A01540;;7;13.0;7-107005;7;METRO;M7;3.0;110.0;RATP;899957;1;0;653552.4584;6854349.8692
48.906567146,2.3659203194;"{""type"": ""Point"", ""coordinates"": [2.365920319400959, 48.906567145980276]}";380;58497;1073;Front Populaire;FRONT POPULAIRE;Front Populaire;0;Metro;0;0;0;1;0;0;0;0;0;0;M12;0;0;0;A01545;;12;4.0;12-112041;12;METRO;M12;3.0;110.0;RATP;0;1;1;653520.3175;6867583.1321
48.8186764099,2.3197403133;"{""type"": ""Point"", ""coordinates"": [2.319740313298555, 48.8186764099126]}";381;45904;1134;Mairie de Montrouge;MAIRIE DE MONTROUGE;Mairie de Montrouge;0;Metro;0;0;0;1;0;0;0;0;0;0;M4;0;0;0;A01537;;4;0.0;4-104080;4;METRO;M4;3.0;110.0;RATP;0;1;0;650051.0907;6857838.6019
48.8942522622,2.31377215877;"{""type"": ""Point"", ""coordinates"": [2.313772158769624, 48.89425226224654]}";1132;44514;689;Porte de Clichy;PORTE DE CLICHY;Porte de Clichy;2346;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-113071;13;METRO;M13;3.0;110.0;RATP;0;1;0;649685.9141;6866245.7339
48.8974022229,2.34484774875;"{""type"": ""Point"", ""coordinates"": [2.344847748752398, 48.89740222289808]}";1136;44515;690;Porte de Clignancourt;PORTE DE CLIGNANCOURT;Pte de Clignancourt;2075;Metro;0;0;0;1;0;0;0;0;0;0;M4;0;0;0;A01537;C01374;4;10.0;4-104029;4;METRO;M4;3.0;110.0;RATP;0;1;0;651967.2227;6866576.6415
48.8794817719,2.38911580738;"{""type"": ""Point"", ""coordinates"": [2.389115807376887, 48.87948177191292]}";3;42369;93;Botzaris;BOTZARIS;Botzaris;2362;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01550;;7b;14.0;7b-117033;7b;METRO;M7bis;3.0;110.0;RATP;0;1;0;655197.2716;6864557.9604
48.8607869635,2.32099819195;"{""type"": ""Point"", ""coordinates"": [2.320998191954084, 48.8607869635267]}";27;45704;30;Assemblée Nationale;ASSEMBLEE NATIONALE;Assemblée Nationale;2312;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112059;12;METRO;M12;3.0;110.0;RATP;0;1;0;650183.7135;6862520.0466
48.8359308792,2.27816167128;"{""type"": ""Point"", ""coordinates"": [2.278161671278975, 48.83593087919466]}";31;45357;47;Balard;BALARD;Balard;2225;Metro;0;0;0;1;0;0;0;0;0;0;M8;0;0;0;A01541;;8;15.0;8-108019;8;METRO;M8;3.0;110.0;RATP;0;1;0;647015.7484;6859784.1873
48.8524794228,2.36932058493;"{""type"": ""Point"", ""coordinates"": [2.369320584925386, 48.852479422836296]}";34;42288;54;Bastille;BASTILLE;Bastille;2017;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;;1;1.0;1-105071;1;METRO;M1;3.0;110.0;RATP;0;1;0;653721.5234;6861566.9178
48.8413382509,2.40091853812;"{""type"": ""Point"", ""coordinates"": [2.400918538121599, 48.841338250937554]}";37;45222;59;Bel Air;BEL-AIR;Bel-Air;2125;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106035;6;METRO;M6;3.0;110.0;RATP;0;1;0;656030.6977;6860310.0664
48.8403887481,2.37991127145;"{""type"": ""Point"", ""coordinates"": [2.379911271454398, 48.840388748095855]}";42;45232;67;Bercy;BERCY;Bercy;2128;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106041;6;METRO;M6;3.0;110.0;RATP;0;1;0;654488.0813;6860216.3939
48.7967407666,2.44943317569;"{""type"": ""Point"", ""coordinates"": [2.449433175686986, 48.79674076658305]}";47;45712;223;Créteil-L'Échat (Hôpital Mondor);CRETEIL-L'ECHAT (HOPITAL MONDOR);Créteil-L'Échat;2191;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108087;8;METRO;M8;3.0;110.0;RATP;899929;1;0;659556.7711;6855325.4146
48.842436797,2.365184812;"{""type"": ""Point"", ""coordinates"": [2.365184812004335, 48.84243679702546]}";52;43072;311;Gare d'Austerlitz;AUSTERLITZ;Gare d'Austerlitz;2285;Metro;0;0;0;1;0;0;0;0;0;0;M10;0;0;0;A01543;;10;2.0;10-375;10;METRO;M10;3.0;110.0;RATP;0;1;1;653409.0746;6860452.705
48.8394454284,2.39618288645;"{""type"": ""Point"", ""coordinates"": [2.396182886452632, 48.8394454283795]}";55;45229;234;Daumesnil;DAUMESNIL;Daumesnil;2200;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-106037;8;METRO;M8;3.0;110.0;RATP;0;1;0;655681.5241;6860102.2506
48.8470525545,2.31642435206;"{""type"": ""Point"", ""coordinates"": [2.316424352062688, 48.847052554528844]}";61;42874;247;Duroc;DUROC;Duroc;2335;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114049;13;METRO;M13;3.0;110.0;RATP;0;1;0;649834.9325;6860995.805
48.8354953554,2.3588234891;"{""type"": ""Point"", ""coordinates"": [2.3588234890971, 48.8354953553826]}";72;42426;124;Campo Formio;CAMPO-FORMIO;Campo-Formio;2102;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105079;5;METRO;M5;3.0;110.0;RATP;0;1;0;652935.9416;6859684.6612
48.9195730741,2.34330593051;"{""type"": ""Point"", ""coordinates"": [2.343305930512596, 48.91957307405852]}";74;42447;126;Carrefour Pleyel;CARREFOUR PLEYEL;Carrefour Pleyel;2353;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114077;13;METRO;M13;3.0;110.0;RATP;899924;1;0;651874.6896;6869042.8996
